index,discipline,language,status
1,linguagens,espanhol,existente
1,linguagens,ingles,existente
2,linguagens,espanhol,existente
2,linguagens,ingles,existente
3,linguagens,ingles,existente
3,linguagens,espanhol,existente
4,linguagens,espanhol,existente
4,linguagens,ingles,existente
5,linguagens,espanhol,existente
5,linguagens,ingles,existente
6,linguagens,,existente
7,linguagens,,existente
8,linguagens,,existente
9,linguagens,,existente
10,linguagens,,existente
11,linguagens,,existente
12,linguagens,,existente
13,linguagens,,existente
14,linguagens,,existente
15,linguagens,,existente
16,linguagens,,existente
17,linguagens,,existente
18,linguagens,,existente
19,linguagens,,existente
20,linguagens,,existente
21,linguagens,,existente
22,linguagens,,existente
23,linguagens,,existente
24,linguagens,,existente
25,linguagens,,existente
26,linguagens,,existente
27,linguagens,,existente
28,linguagens,,existente
29,linguagens,,existente
30,ciencias-humanas,,existente
31,linguagens,,existente
32,linguagens,,existente
33,linguagens,,existente
35,linguagens,,existente
36,linguagens,,existente
37,linguagens,,existente
38,linguagens,,existente
39,linguagens,,existente
40,linguagens,,existente
41,linguagens,,existente
42,linguagens,,existente
43,linguagens,,existente
44,linguagens,,existente
45,linguagens,,existente
46,ciencias-humanas,,existente
47,ciencias-humanas,,existente
48,ciencias-humanas,,existente
49,ciencias-humanas,,existente
50,ciencias-humanas,,existente
51,ciencias-humanas,,existente
52,ciencias-humanas,,existente
53,ciencias-humanas,,existente
54,ciencias-humanas,,existente
55,ciencias-humanas,,existente
56,ciencias-humanas,,existente
57,ciencias-humanas,,existente
58,ciencias-humanas,,existente
59,ciencias-humanas,,existente
60,ciencias-humanas,,existente
61,ciencias-humanas,,existente
62,ciencias-humanas,,existente
63,ciencias-humanas,,existente
64,ciencias-humanas,,existente
65,ciencias-humanas,,existente
66,ciencias-humanas,,existente
67,ciencias-humanas,,existente
68,ciencias-humanas,,existente
69,ciencias-humanas,,existente
70,ciencias-humanas,,existente
71,ciencias-humanas,,existente
72,ciencias-humanas,,existente
73,ciencias-humanas,,existente
74,ciencias-humanas,,existente
75,ciencias-humanas,,existente
76,ciencias-humanas,,existente
77,ciencias-humanas,,existente
78,ciencias-humanas,,existente
79,ciencias-humanas,,existente
80,ciencias-humanas,,existente
81,linguagens,,existente
82,ciencias-humanas,,existente
83,ciencias-humanas,,existente
84,ciencias-humanas,,existente
85,ciencias-humanas,,existente
86,ciencias-humanas,,existente
87,ciencias-humanas,,existente
88,ciencias-humanas,,existente
89,ciencias-humanas,,existente
90,ciencias-humanas,,existente
91,ciencias-natureza,,existente
92,ciencias-natureza,,existente
93,ciencias-humanas,,existente
94,ciencias-humanas,,existente
95,ciencias-natureza,,existente
96,ciencias-humanas,,existente
97,ciencias-humanas,,existente
98,ciencias-humanas,,existente
99,ciencias-natureza,,existente
100,ciencias-natureza,,existente
101,ciencias-natureza,,existente
102,ciencias-natureza,,existente
103,ciencias-natureza,,existente
104,ciencias-natureza,,existente
105,ciencias-natureza,,existente
106,ciencias-natureza,,existente
107,ciencias-natureza,,existente
108,ciencias-natureza,,existente
109,ciencias-humanas,,existente
110,ciencias-natureza,,existente
111,ciencias-natureza,,existente
112,ciencias-natureza,,existente
113,ciencias-natureza,,existente
114,ciencias-natureza,,existente
115,ciencias-natureza,,existente
116,ciencias-natureza,,existente
117,ciencias-natureza,,existente
118,ciencias-natureza,,existente
119,ciencias-natureza,,existente
120,ciencias-natureza,,existente
121,ciencias-natureza,,existente
122,ciencias-natureza,,existente
123,ciencias-natureza,,existente
124,ciencias-natureza,,existente
125,ciencias-natureza,,existente
126,ciencias-natureza,,existente
127,ciencias-natureza,,existente
128,matematica,,existente
129,matematica,,existente
130,matematica,,existente
131,matematica,,existente
132,matematica,,existente
133,ciencias-natureza,,existente
134,ciencias-natureza,,existente
135,ciencias-natureza,,existente
136,matematica,,existente
137,matematica,,existente
138,matematica,,existente
139,matematica,,existente
140,matematica,,existente
141,matematica,,existente
142,matematica,,existente
143,matematica,,existente
144,matematica,,existente
145,matematica,,existente
146,matematica,,existente
147,matematica,,existente
148,ciencias-humanas,,existente
149,ciencias-humanas,,existente
150,matematica,,existente
151,matematica,,existente
152,matematica,,existente
153,ciencias-humanas,,existente
154,ciencias-humanas,,existente
155,matematica,,existente
156,matematica,,existente
157,matematica,,existente
158,matematica,,existente
159,matematica,,existente
160,matematica,,existente
161,matematica,,existente
162,matematica,,existente
163,matematica,,existente
164,matematica,,existente
165,matematica,,existente
166,matematica,,existente
167,matematica,,existente
168,matematica,,existente
169,matematica,,existente
170,matematica,,existente
171,matematica,,existente
172,matematica,,existente
173,matematica,,existente
175,matematica,,existente
176,matematica,,existente
177,matematica,,existente
178,matematica,,existente
179,matematica,,existente
180,matematica,,existente
